id,matrix_row,matrix_column,year,citation,title,authors_source,study_design,population,product_platform,outcome_domain,key_finding,evidence_signal,actionability,source_url,tags,evidence_update_date,evidence_update_precision,evidence_update_basis,map_record_updated,provenance,pmid,doi,article_types,mesh_terms,species,quality_status,quality_flags,quality_control_version
I007,Immune correlates & antigen design,Evidence synthesis / guidance,2024,"Coindy et al., 2024 review",Antibody-mediated protection against RSV disease in children,Coindy et al.,Narrative / evidence review,Children; infants,Maternal antibodies; monoclonal antibodies; vaccine-induced antibodies,Protection; immune mechanisms; correlates,Reviews evidence that antibodies have a central role in protection against severe RSV in children.,Mechanistic evidence synthesis,Frames antibody-based prevention and correlate-development questions.,https://pubmed.ncbi.nlm.nih.gov/?term=Coindy+antibody+mediated+protection+RSV+children+2024,antibodies; children; correlate; review,2024-01-01,year,publication year only in rapid coding; conservative 1 January placeholder,2026-05-25,Curated seed,,,,,,,,
I006,Immune correlates & antigen design,Human RCT / controlled trial,2021,"Ruckwardt et al., Lancet Respiratory Medicine 2021","Safety, tolerability, and immunogenicity of the respiratory syncytial virus prefusion F vaccine DS-Cav1",Ruckwardt et al.,Phase 1 randomised trial,Healthy adults,DS-Cav1 prefusion F vaccine candidate,Safety; immunogenicity; neutralising antibody responses,"Evaluated safety and immune responses to DS-Cav1, reinforcing the feasibility of prefusion F vaccine approaches.",Early human RCT evidence,"Useful bridge evidence for antigen design and immunogenicity, not direct clinical efficacy.",https://pubmed.ncbi.nlm.nih.gov/?term=Ruckwardt+DS-Cav1+RSV+Lancet+Respiratory+Medicine+2021,DS-Cav1; phase 1; immunogenicity; safety,2021-03-01,month,source publication month,2026-05-25,Curated seed,,,,,,,,
I005,Immune correlates & antigen design,Human RCT / controlled trial,2019,"Crank et al., Science 2019",A proof of concept for structure-based vaccine design targeting RSV in humans,Crank et al.,First-in-human vaccine trial / immunogenicity,Adults,DS-Cav1 prefusion F vaccine candidate,Safety; neutralising antibody boosting; immunogenicity,Provided clinical proof-of-concept that structure-based prefusion F design can elicit strong RSV-neutralising responses in humans.,Early human immunogenicity evidence,Connects antigen-design evidence to vaccine candidate development.,https://www.science.org/doi/10.1126/science.aav9033,DS-Cav1; phase 1; immunogenicity; structure-based vaccine,2019-08-02,day,source publication date,2026-05-25,Curated seed,,,,,,,,
I009,Immune correlates & antigen design,Observational / real-world,2025,"Frivold et al., Nature Communications 2025",RSV-specific antibodies and risk of symptomatic or lower respiratory RSV disease,Frivold et al.,Antibody-risk association analysis,Infants; children; adults depending on cohort,RSV-specific antibodies,Symptomatic disease; lower respiratory disease; correlate uncertainty,Supports antibody associations with protection while illustrating that consensus protective thresholds remain incompletely defined across populations.,Emerging correlate evidence,Identifies need for standardised assays and population-specific thresholds.,https://pubmed.ncbi.nlm.nih.gov/41006233/,correlate; antibodies; threshold; assay standardisation,2025-09-26,day,source publication date,2026-05-25,Curated seed,,,,,,,,
I008,Immune correlates & antigen design,Observational / real-world,2023,"Fong et al., Open Forum Infectious Diseases 2023",Antibody correlates of protection from severe RSV disease in a vaccine efficacy trial,Fong et al.,Correlates analysis nested in maternal vaccine efficacy trial,Pregnant women; infants; South Africa,RSV F nanoparticle maternal vaccine; antibody measurements,Correlates of risk/protection; severe hypoxia endpoint,Found evidence supporting RSV-neutralising and F-binding antibody measurements as inverse correlates of severe infant RSV disease risk in trial data.,Correlate evidence from clinical trial cohort,"Promising but requires validation across products, populations, and endpoints.",https://pubmed.ncbi.nlm.nih.gov/36655191/,correlate; maternal immunisation; antibodies; infants,2023-01-18,day,source publication date,2026-05-25,Curated seed,,,,,,,,
I003,Immune correlates & antigen design,Translational / preclinical,2015,"Ngwuta et al., Science Translational Medicine 2015",Prefusion F-specific antibodies determine the magnitude of RSV neutralizing activity in human sera,Ngwuta et al.,Human sera / antibody specificity analysis,Human sera; broad age groups,Prefusion F antibodies,Neutralisation; immune correlate plausibility,Found RSV neutralising activity in human sera was primarily derived from pre-F-specific antibodies.,Mechanistic correlate evidence,"Supports neutralising antibody endpoints as an evidence bridge, while not alone proving clinical protection thresholds.",https://pubmed.ncbi.nlm.nih.gov/26468324/,prefusion F; neutralising antibodies; correlate; human sera,2015-10-14,day,source publication date,2026-05-25,Curated seed,,,,,,,,
I004,Immune correlates & antigen design,Translational / preclinical,2015,"Krarup et al., Nature Communications 2015",A highly stable prefusion RSV F vaccine derived from structural analysis of the fusion mechanism,Krarup et al.,Antigen engineering / animal challenge,Preclinical animal models,Stabilised prefusion F immunogen,Neutralising antibody; animal protection,A highly stable prefusion F immunogen elicited neutralising antibodies and protected cotton rats in challenge experiments.,Preclinical proof-of-concept,Supports preclinical-to-clinical vaccine design rationale.,https://www.nature.com/articles/ncomms9143,prefusion F; animal model; vaccine antigen; protection,2015-08-05,day,source publication date,2026-05-25,Curated seed,,,,,,,,
I001,Immune correlates & antigen design,Translational / preclinical,2013,"McLellan et al., Science 2013",Structure of RSV fusion glycoprotein trimer bound to a prefusion-specific neutralizing antibody,McLellan et al.,Structural biology / human sera neutralisation analysis,Human sera; RSV F antigen design,Prefusion F antigen; neutralising antibodies,Neutralising activity; antigenic target,Showed that the prefusion state of RSV F is the target of most RSV-neutralising activity in human sera.,Foundational mechanistic evidence,Core rationale for prefusion F vaccines and antibody products.,https://pubmed.ncbi.nlm.nih.gov/23618766/,prefusion F; neutralising antibody; structural biology; correlate,2013-05-31,day,source publication date,2026-05-25,Curated seed,,,,,,,,
I002,Immune correlates & antigen design,Translational / preclinical,2013,"McLellan et al., Science 2013",Structure-based design of a fusion glycoprotein vaccine for RSV,McLellan et al.,Structure-based antigen design / preclinical immunogenicity,Preclinical models; RSV F antigen design,DS-Cav1 stabilised prefusion F,Antigen stability; neutralising antibody induction,Designed stabilised prefusion F immunogens that preserved neutralisation-sensitive antigenic sites.,Foundational translational evidence,Established design logic for modern RSV pre-F vaccines.,https://pubmed.ncbi.nlm.nih.gov/24179220/,DS-Cav1; prefusion F; antigen design; vaccine platform,2013-11-01,day,source publication date,2026-05-25,Curated seed,,,,,,,,
A008,Booster studies,Evidence synthesis / guidance,2026,CDC Adult RSV vaccine guidance,RSV Vaccine Guidance for Adults,CDC,Clinical guidance / policy synthesis,Adults aged 75+; adults 50–74 at increased risk; adults 18–49 pending CDC recommendation contexts,Arexvy; Abrysvo; mResvia,Eligibility; product choice; timing; revaccination,Recommends a single RSV vaccine dose for all adults 75+ and adults 50–74 at increased risk; no product preference and no annual revaccination recommendation at present.,Authoritative policy guidance,Current adult implementation anchor.,https://www.cdc.gov/rsv/hcp/vaccine-clinical-guidance/adults.html,adult guidance; CDC; eligibility; revaccination; product choice; booster studies,2026-02-24,day,CDC page date,2026-06-18,Curated seed,,,,,,,,
